"","acc","rmse","f1","auc","sens","spec","fnr","fpr","plr","nlr"
"2175",0.875,0.340212162584889,0.705882352941177,0.833333333333333,0.6,0.966666666666667,0.4,0.0333333333333333,18,0.413793103448276
"2176",0.85,0.305628549904093,0.625,0.9453125,0.625,0.90625,0.375,0.09375,6.66666666666667,0.413793103448276
"2177",0.85,0.368310500606424,0.769230769230769,0.88034188034188,0.769230769230769,0.888888888888889,0.230769230769231,0.111111111111111,6.92307692307692,0.259615384615385
"2178",0.775,0.361438955640901,0.571428571428571,0.851254480286738,0.666666666666667,0.806451612903226,0.333333333333333,0.193548387096774,3.44444444444444,0.413333333333333
"2179",0.775,0.355249065933599,0.526315789473684,0.863333333333333,0.5,0.866666666666667,0.5,0.133333333333333,3.75,0.576923076923077
"2180",0.85,0.325320593171854,0.625,0.901666666666667,0.5,0.966666666666667,0.5,0.0333333333333333,15,0.517241379310345
"2181",0.85,0.358271616972319,0.769230769230769,0.861263736263736,0.714285714285714,0.923076923076923,0.285714285714286,0.0769230769230769,9.28571428571429,0.309523809523809
"2182",0.8,0.387455414665931,0.6,0.863095238095238,0.5,0.928571428571429,0.5,0.0714285714285714,7,0.538461538461538
"2183",0.75,0.382797084195343,0.615384615384615,0.800940438871473,0.727272727272727,0.758620689655172,0.272727272727273,0.241379310344828,3.01298701298701,0.359504132231405
"2184",0.975,0.272567530017613,0.952380952380952,0.926332288401254,0.909090909090909,1,0.0909090909090909,0,Inf,0.0909090909090909
"2185",0.775,0.393719711625269,0.689655172413793,0.827380952380952,0.833333333333333,0.75,0.166666666666667,0.25,3.33333333333333,0.222222222222222
"2186",0.8,0.387384083568615,0.636363636363636,0.868131868131868,0.5,0.961538461538462,0.5,0.0384615384615384,13,0.52
"2187",0.775,0.412225973796053,0.64,0.888,0.533333333333333,0.92,0.466666666666667,0.08,6.66666666666667,0.507246376811594
"2188",0.725,0.442090346238604,0.521739130434783,0.833791208791209,0.428571428571429,0.884615384615385,0.571428571428571,0.115384615384615,3.71428571428571,0.645962732919255
"2189",0.825,0.377685492946721,0.666666666666667,0.876488095238095,0.583333333333333,0.928571428571429,0.416666666666667,0.0714285714285714,8.16666666666667,0.448717948717949
"2190",0.85,0.332160397353931,0.666666666666667,0.883512544802867,0.666666666666667,0.903225806451613,0.333333333333333,0.0967741935483871,6.88888888888889,0.369047619047619
"2191",0.75,0.366521794004569,0.375,0.841796875,0.375,0.84375,0.625,0.15625,2.4,0.740740740740741
"2192",0.775,0.434155412876475,0.608695652173913,0.777472527472527,0.5,0.923076923076923,0.5,0.0769230769230769,6.5,0.541666666666667
"2193",0.75,0.470082393289364,0.583333333333333,0.738095238095238,0.583333333333333,0.821428571428571,0.416666666666667,0.178571428571429,3.26666666666667,0.507246376811594
"2194",0.775,0.389005689643485,0.571428571428571,0.87202380952381,0.5,0.892857142857143,0.5,0.107142857142857,4.66666666666667,0.56
"2195",0.8,0.378197498951763,0.6,0.871473354231975,0.545454545454545,0.896551724137931,0.454545454545455,0.103448275862069,5.27272727272727,0.506993006993007
"2196",0.75,0.398535113869517,0.444444444444444,0.843260188087774,0.363636363636364,0.896551724137931,0.636363636363636,0.103448275862069,3.51515151515152,0.70979020979021
